"state,total
AK,1088978
AL,1711748
AR,1807211
AZ,2421060
CA,25789775
CO,1899317
CT,3573535
DE,447438
FL,7630439
GA,4555443
HI,314129
IA,1102737
ID,512851
IL,11274608
IN,2338308
KS,861324
KY,2822478
LA,3647386
MA,3540164
MD,2474475
ME,942567
MI,7119253
MN,2688011
MO,1881501
MS,1194226
MT,696878
NC,5704900
ND,358279
NE,776493
NH,446689
NJ,6349346
NM,1660275
NV,1033130
NY,20909445
OH,6593404
OK,2262832
OR,2175160
PA,3396338
RI,560886
SC,2581328
SD,342423
TN,4765211
TX,11528595
UT,1409363
VA,3579394
VT,235474
WA,3164714
WI,2656148
WV,1245934
WY,184614"
